Bairro,Homicidios,taxa
AEROLANDIA,17,149.65
AEROPORTO,2,23.21
ALDEOTA,8,18.89
ALTO DA BALANCA,10,78.04
ALVARO WEYNE,21,88.64
AMADEU FURTADO,0,0
ANCURI,18,89.69
ANTONIO BEZERRA,16,61.91
AUTRAN NUNES,18,84.87
BARRA DO CEARA,70,96.65
BARROSO,45,150.77
BELA VISTA,17,101.47
BENFICA,2,15.44
BOA VISTA,1,8.17
BOM FUTURO,0,0
BOM JARDIM,53,140.37
BONSUCESSO,25,60.68
CAIS DO PORTO,19,84.89
CAJAZEIRAS,11,75.98
CAMBEBA,4,52.46
CANINDEZINHO,29,70.38
CARLITO PAMPLONA,17,58.47
CASTELAO,7,0
CENTRO,30,105.12
CIDADE 2000,5,60.44
CIDADE DOS FUNCIONARIOS,9,49.3
COACU,0,0
COCO,1,4.88
CONJUNTO CEARA I,7,36.42
CONJUNTO CEARA II,6,25.35
CONJUNTO ESPERANCA,15,91.44
CONJUNTO PALMEIRAS,46,125.69
COUTO FERNANDES,4,76.05
CRISTO REDENTOR,17,63.63
CURIO,11,144.05
DAMAS,2,18.66
DE LOURDES,0,0
DEMOCRITO ROCHA,5,45.48
DENDE,5,88.7
DIAS MACEDO,10,82.57
DIONISIO TORRES,3,19.19
DOM LUSTOSA,4,30.43
EDSON QUEIROZ,24,108.06
ENG LUCIANO CAVALCANTE,0,0
FARIAS BRITO,1,8.29
FATIMA,7,30.03
FLORESTA,10,34.61
GENIBAU,37,91.73
GENTILANDIA,1,0
GRANJA LISBOA,32,61.49
GRANJA PORTUGAL,26,65.57
GUAJERU,0,0
HENRIQUE JORGE,6,22.23
ITAOCA,10,80.15
ITAPERI,8,35.46
JACARECANGA,11,77.44
JANGURUSSU,57,112.92
JARDIM AMERICA,8,65.23
JARDIM CEARENSE,1,9.9
JARDIM DAS OLIVEIRAS,31,104.83
JARDIM GUANABARA,6,40.22
JARDIM IRACEMA,29,125.09
JOAO XXIII,10,54.35
JOAQUIM TAVORA,4,17.06
JOQUEI CLUBE,7,36.21
JOSE BONIFACIO,3,33.91
JOSE DE ALENCAR,20,124.98
LAGOA REDONDA,13,46.51
MANOEL SATIRO,9,23.71
MANUEL DIAS BRANCO,3,207.33
MARAPONGA,12,118.17
MEIRELES,2,5.41
MESSEJANA,46,110.34
MONDUBIM,47,61.81
MONTE CASTELO,12,90.81
MONTESE,4,15.4
MOURA BRASIL,6,23.1
MUCURIPE,10,72.74
PADRE ANDRADE,6,46.38
PANAMERICANO,7,79.41
PAPICU,11,59.88
PARANGABA,11,35.54
PARQUE ARAXA,0,0
PARQUE DOIS IRMAOS,14,51.4
PARQUE IRACEMA,2,23.78
PARQUE MANIBURA,0,0
PARQUE PRESIDENTE VARGAS,9,125.14
PARQUE SANTA ROSA,8,62.55
PARQUE SAO JOSE,17,162.12
PARQUELANDIA,6,41.57
PARREAO,0,0
PASSARE,35,68.71
PATRIOLINO RIBEIRO,0,0
PAUPINA,12,81.83
PEDRAS,1,74.52
PICI,23,54.13
PIRAMBU,38,213.78
PLANALTO AYRTON SENNA,30,76.05
PRAIA DE IRACEMA,11,351.44
PRAIA DO FUTURO I,12,181
PRAIA DO FUTURO II,12,100.36
PREFEITO JOSE VALTER,25,74.79
PRESIDENTE KENNEDY,2,8.69
QUINTINO CUNHA,36,76.15
RODOLFO TEOFILO,4,20.93
SABIAGUABA,9,425.13
SALINAS,0,0
SAO BENTO,0,0
SAO GERARDO,3,20.68
SAO JOAO DO TAUAPE,24,86.96
SAPIRANGA COITE,13,40.43
SERRINHA,21,72.99
SIQUEIRA,30,89.21
VARJOTA,2,23.75
VICENTE PINZON,34,74.7
VILA ELLERY,6,76.31
VILA PERY,6,29.06
VILA UNIAO,10,65.03
VILA VELHA,31,50.31
